암호화요양기호,주소
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzUxIyQxIyQ1IyQxMyQyNjE4MzIjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 2-42,2-43호 (삼평동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ3MiQzNjE4MzIjNDEjJDEjJDQjJDgz,"경기도 성남시 수정구 수정로 106, 303호 (수진동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQxMyQzNjEwMDIjNjEjJDEjJDAjJDgz,"경기도 성남시 분당구 돌마로 75, 403호 (금곡동, 미금프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjNTEjJDEjJDYjJDgz,"경기도 성남시 분당구 돌마로 73, 403호 (금곡동, 우방코아)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ5MiQyNjE4MzIjNzEjJDEjJDgjJDgz,"경기도 성남시 수정구 남문로69번길 5-6, 2층 (태평동)"
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQ1IyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,"경기도 성남시 수정구 헌릉로 999, 5~10층 (창곡동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQwMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,"경기도 성남시 분당구 정자일로 55, 109-311호 (금곡동, 분당두산위브)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzIxIyQxIyQ5IyQ5MiQyNjEwMDIjODEjJDEjJDIjJDgz,"경기도 성남시 수정구 위례광장로 310, A동 5층 506,507호 (창곡동, 우성트램타워)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 장미로 139, 201호 (야탑동,  매화마을 공무원아파트상가)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,"경기도 성남시 분당구 돌마로 68, 406~409호 (구미동, 분당프라자)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 황새울로342번길 11, 403호 404호 (서현동, 금호리빙스텔)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz,"경기도 성남시 분당구 분당내곡로 151, 404,405호 (삼평동, 삼도타워)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzIxIyQxIyQ5IyQwMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,"경기도 성남시 중원구 도촌남로 33, 403호 (도촌동, 세일프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQxIyQwMyQzNjE4MzIjNjEjJDEjJDAjJDgz,"경기도 성남시 분당구 돌마로 86, 304호 (구미동, 엘레강스프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ1IyQ5OSQyNjE0ODEjNDEjJDEjJDQjJDgz,"경기도 성남시 중원구 희망로 312, 3층 (상대원동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 정자일로198번길 15, 7층 일부호 (정자동, 제나프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQ3IyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 분당내곡로 117, 알파돔타워Ⅳ 3층 301호 (백현동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzExIyQxIyQ3IyQ4MiQyNjE0ODEjNjEjJDEjJDQjJDgz,"경기도 성남시 수정구 산성대로 285, (신흥동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzIxIyQxIyQxIyQ5OSQyNjE0ODEjODEjJDEjJDYjJDgz,"경기도 성남시 중원구 성남대로 1126, 401호 (성남동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzMxIyQyIyQzIyQwMCQ0NjEwMDIjNTEjJDEjJDIjJDgz,"경기도 성남시 중원구 성남대로 1126, 206호 (성남동, 메가프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzQxIyQxIyQ3IyQ4MiQzNjE0ODEjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 백현로101번길 17, 407,408호 (수내동, 초림프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzQxIyQxIyQ3IyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 정자일로 1, D동 102호 (금곡동, 코오롱트리폴리스)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzMxIyQxIyQ3IyQxMyQzNjE0ODEjODEjJDEjJDIjJDgz,"경기도 성남시 분당구 구미로9번길 7, 311호 (구미동, 팬텀테마광장)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzMxIyQxIyQ3IyQxMyQ0NjEwMDIjODEjJDEjJDYjJDgz,"경기도 성남시 수정구 수정로 130, (수진동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQyNjEwMDIjNjEjJDEjJDQjJDgz,"경기도 성남시 분당구 돌마로 75, 미금프라자 302호 (금곡동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,"경기도 성남시 수정구 위례광장로 322, 2층 201호 (창곡동, 아이플렉스)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQzIyQ2MiQzNjEyMjIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 야탑로 95, 502호 (야탑동, 세신옴니코아)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQzIyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 돌마로 361, 501호 (수내동, 동신코아빌딩)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQzIyQ2MiQzNjE4MzIjODEjJDEjJDYjJDgz,"경기도 성남시 분당구 내정로166번길 7-3, 301호 (수내동, 서기빌딩)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzUxIyQxIyQxIyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,"경기도 성남시 중원구 금상로96번길 2, 2층 (상대원동)"
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQ0NjEwMDIjNzEjJDEjJDgjJDgz,"경기도 성남시 분당구 새나리로 13, (야탑동)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQxIyQxIyQ4MiQzNjEyMjIjNzEjJDEjJDgjJDgz,"경기도 성남시 분당구 성남대로331번길 3-13, 대명제스트빌딩 3층 302호 (정자동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ3MiQzNjE0ODEjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 백현로 105, 210호 (수내동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxOTYxIzExIyQxIyQ3IyQ3MiQzNjE0ODEjODEjJDEjJDIjJDgz,"경기도 성남시 분당구 성남대로331번길 3-3, 301호 (정자동, 젤존타워III)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzExIyQxIyQ3IyQwMyQyNjEwMDIjNDEjJDEjJDQjJDgz,"경기도 성남시 수정구 수정로 210, 3층 (신흥동, 제중빌딩)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE0ODEjNzEjJDEjJDgjJDgz,"경기도 성남시 분당구 내정로 29, 207호 (정자동, 금곡프라자)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQxMyQyNjEyMjIjNDEjJDEjJDQjJDgz,"경기도 성남시 수정구 수정로 115-1, 5층 (태평동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzQxIyQyIyQ3IyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz,"경기도 성남시 중원구 성남대로 1142, 3층 (성남동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQ3MiQzNjEwMDIjNjEjJDEjJDQjJDgz,"경기도 성남시 중원구 광명로 331, 2층 (금광동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQxMyQyNjE0ODEjNTEjJDEjJDYjJDgz,"경기도 성남시 분당구 야탑로81번길 10, 307-1호 (야탑동, 아미고타워)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ3MiQzNjEyMjIjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 황새울로258번길 36, 403호 (수내동, 광진프라자)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ5MiQyNjE0ODEjODEjJDEjJDIjJDgz,"경기도 성남시 분당구 성남대로 385, 502호 (정자동, 분당클리닉빌딩)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzIxIyQxIyQ5IyQ3OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,"경기도 성남시 수정구 성남대로 1170, 의남빌딩 7,8층 (수진동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQxMyQyNjE0ODEjODEjJDEjJDYjJDgz,"경기도 성남시 중원구 희망로 312, 대원빌딩 4층 (상대원동)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQ5MiQyNjE0ODEjODEjJDEjJDIjJDgz,"경기도 성남시 분당구 성남대로926번길 6, 401호 (야탑동, 대덕프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNjEjJDEjJDgjJDgz,"경기도 성남시 수정구 성남대로 1241, 2층~4층 (태평동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 성남대로916번길 7, 301호 (야탑동, 서일빌딩)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ5MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,"경기도 성남시 분당구 야탑로 243, 3층 (야탑동, 부건프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 돌마로 67, 금산젬월드 4층 404호 (금곡동)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQwMyQzNjE4MzIjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 성남대로 926, 303일부호, 408호 (야탑동, 분당메트로)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ5IyQwMyQyNjEwMDIjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 성남대로 168, 308호 (금곡동, 미도프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ1IyQ2MiQyNjEwMDIjNzEjJDEjJDgjJDgz,"경기도 성남시 수정구 수정로 167, 2층 (태평동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQyIyQ3IyQwMCQyNjEyMjIjNjEjJDEjJDQjJDgz,"경기도 성남시 분당구 야탑로69번길 24-8, 309호 (야탑동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQzIyQ3MiQzNjE0ODEjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 돌마로 481, 3층 307호 (서현동, 분당우성프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzUxIyQxIyQ1IyQxMyQyNjEyMjIjNjEjJDEjJDAjJDgz,"경기도 성남시 중원구 광명로 373, 2층 (금광동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzUxIyQxIyQ1IyQxMyQyNjEwMDIjNjEjJDEjJDgjJDgz,"경기도 성남시 중원구 산성대로372번길 14, 2층 (금광동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNDEjJDEjJDgjJDgz,"경기도 성남시 중원구 제일로 37, 3층 (성남동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz,"경기도 성남시 수정구 성남대로 1237, 지하1,1,2,3층 (태평동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ5IyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,"경기도 성남시 중원구 둔촌대로 449, A동 308호 (상대원동, 중앙인더스피아상가)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQxIyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz,"경기도 성남시 분당구 돌마로 73, 301호 (금곡동, 우방코아)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQzIyQwMyQyNjEwMDIjNjEjJDEjJDAjJDgz,"경기도 성남시 중원구 둔촌대로281번길 3, (하대원동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 미금일로 71, 203호 (구미동, 하나빌딩)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzExIyQxIyQzIyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz,"경기도 성남시 수정구 수정로 122, 2층 (수진동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQyIyQ3IyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz,"경기도 성남시 수정구 남문로 66, 2~3층 (태평동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ4MiQzNjE0ODEjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 서현로210번길 20, 코코프라자 502호 (서현동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQyIyQ3IyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,"경기도 성남시 분당구 정자일로 248, 501호 (정자동, 파크뷰상가)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzQxIyQxIyQ3IyQ5MiQyNjE4MzIjNDEjJDEjJDgjJDgz,"경기도 성남시 수정구 수정로 141-1, 3층 (태평동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQxIyQwMyQzNjE4MzIjNjEjJDEjJDQjJDgz,"경기도 성남시 분당구 돌마로 482, 3층 (서현동, 주영빌딩)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzIxIyQxIyQ5IyQ3MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,"경기도 성남시 분당구 돌마로476번길 41, 2층 (서현동, 분당빌딩)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 느티로 16, 401호 (정자동, 젤존타워)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQxIyQxMyQzNjEyMjIjNjEjJDEjJDAjJDgz,"경기도 성남시 수정구 수정로 121, 2층 (태평동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQ1IyQwMyQ0NjE0ODEjNDEjJDEjJDQjJDgz,"경기도 성남시 분당구 서현로 204, 404호 (서현동, 엘지에클라트2차)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQ1IyQ4MiQyNjE0ODEjNDEjJDEjJDQjJDgz,"경기도 성남시 분당구 내정로173번길 49, 303호 (수내동, 궁전프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjEwMDIjNzEjJDEjJDgjJDgz,"경기도 성남시 수정구 수정로 115-1, (태평동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzMxIyQxIyQzIyQxMyQzNjEyMjIjNTEjJDEjJDYjJDgz,"경기도 성남시 분당구 돌마로486번길 12, 207~209호 (서현동, 효자촌 근린상가동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3OSQyNjEwMDIjNjEjJDEjJDQjJDgz,"경기도 성남시 분당구 백현로101번길 25, 4층 (수내동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzMxIyQxIyQzIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,"경기도 성남시 수정구 산성대로 305, 201,202,225호 (신흥동, 삼부르네상스파크Ⅱ)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzMxIyQxIyQ3IyQ4OSQyNjE0ODEjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 분당로263번길 39, 306호 (서현동, 레이디파크)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzMxIyQyIyQ3IyQwMCQzNjE4MzIjNjEjJDEjJDAjJDgz,"경기도 성남시 수정구 논골로 1, (단대동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzQxIyQxIyQ3IyQxMyQzNjEyMjIjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 정자로 13, 409~410호 (정자동, 월드비터)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjODEjJDEjJDYjJDgz,"경기도 성남시 분당구 서현로210번길 20, 304호,302호일부호 (서현동, 코코프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzQxIyQxIyQ3IyQ5MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 벌말로 35, 401호 (야탑동, 대명빌딩)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz,"경기도 성남시 수정구 산성대로 331, 2층 202, 205호 (신흥동, 한신프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzQxIyQxIyQ3IyQ4MiQzNjEyMjIjNjEjJDEjJDAjJDgz,"경기도 성남시 분당구 중앙공원로31번길 42, 213호 (서현동, 서현파크프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzQxIyQxIyQ3IyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,"경기도 성남시 분당구 돌마로 46, 303호 (구미동, 광천프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNTEjJDEjJDYjJDgz,"경기도 성남시 수정구 산성대로 527, 2층 (양지동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzUxIyQxIyQxIyQ2MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,"경기도 성남시 중원구 성남대로 1144, (성남동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzQxIyQxIyQ3IyQ5MiQzNjEwMDIjNTEjJDEjJDIjJDgz,"경기도 성남시 수정구 성남대로 1227, 3층 (수진동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzQxIyQxIyQ3IyQwMyQyNjEwMDIjNzEjJDEjJDgjJDgz,"경기도 성남시 분당구 느티로 27, 304호 (정자동, 하나프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzQxIyQxIyQ3IyQxMyQzNjEwMDIjNjEjJDEjJDAjJDgz,"경기도 성남시 분당구 돌마로366번길 42, 206호 (수내동, 동한프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzUxIyQxIyQ1IyQ4OSQyNjEwMDIjNDEjJDEjJDQjJDgz,"경기도 성남시 분당구 야탑로69번길 8, 503호 (야탑동, 한주코아)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzUxIyQxIyQ1IyQ4MiQzNjEwMDIjODEjJDEjJDYjJDgz,"경기도 성남시 분당구 분당로53번길 9, 3층 305호 (서현동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxOTYxIzIxIyQxIyQxIyQ5MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,"경기도 성남시 중원구 광명로 344, 3층 (금광동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxOTYxIzExIyQxIyQ3IyQwMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,"경기도 성남시 중원구 금상로 7, 3층 (상대원동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxOTYxIzIxIyQxIyQxIyQ3OSQzNjEyMjIjNjEjJDEjJDAjJDgz,"경기도 성남시 수정구 수정로 350, 2층 (산성동)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNjEjJDEjJDQjJDgz,"경기도 성남시 중원구 금상로 10, (상대원동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,"경기도 성남시 수정구 시민로 227, 2층 (태평동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQxIyQ4OSQyNjEyMjIjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 서현로210번길 16, 301호 (서현동, 유성트윈프라자 서관)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 야탑로 95, 2층 (야탑동, 세신옴니코아)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ4MiQyNjE0ODEjODEjJDEjJDYjJDgz,"경기도 성남시 수정구 산성대로 435, 2층 (단대동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3MiQzNjEyMjIjNzEjJDEjJDgjJDgz,"경기도 성남시 분당구 내정로165번길 50, 307호 (수내동, 크리스탈빌딩)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz,"경기도 성남시 분당구 분당내곡로 131, 2층 일부호 (백현동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ3OSQyNjE0ODEjNDEjJDEjJDQjJDgz,"경기도 성남시 분당구 내정로17번길 2, 4001호 (정자동, 한솔프라자)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ2MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,"경기도 성남시 분당구 분당로263번길 39, 206호 (서현동, 레이디파크)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ5MiQzNjE0ODEjODEjJDEjJDIjJDgz,"경기도 성남시 분당구 서현로 192, 403호 (서현동, 야베스밸리)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 3층 306호 (금곡동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,"경기도 성남시 분당구 미금로 39, 305,306호 (구미동, 로얄프라자)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQyIyQ1IyQwMCQyNjEyMjIjNjEjJDEjJDQjJDgz,"경기도 성남시 중원구 금상로 56, 2층 (상대원동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz,"경기도 성남시 중원구 박석로33번길 13, 2층 (상대원동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,"경기도 성남시 수정구 수정로 210, 4층 (신흥동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQxMyQzNjE4MzIjNDEjJDEjJDQjJDgz,"경기도 성남시 분당구 불정로376번길 37, 304호 (서현동, 범한프라자)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQxMyQ0NjE0ODEjODEjJDEjJDIjJDgz,"경기도 성남시 중원구 산성대로 496, 3층 (은행동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ5OSQzNjE4MzIjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 이매로 51, 304호 (이매동, 한라프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 정자일로156번길 6, 3~8층 (정자동, 뉴본타워)"
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQwMyQyNjE0ODEjNjEjJDEjJDQjJDgz,"경기도 성남시 중원구 성남대로 1133, 성남 메트로칸 3,4층 (성남동)"
