암호화요양기호,주소
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzIxIyQyIyQ5IyQwMCQzNjEwMDIjNjEjJDEjJDgjJDgz,"경기도 성남시 수정구 복정로 77, 2층 (복정동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzIxIyQxIyQ5IyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,"경기도 성남시 중원구 성남대로 1124, 4층 (성남동)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQzIyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 미금로 39, 로얄프라자 303호 (구미동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQzIyQ4MiQyNjE4MzIjNjEjJDEjJDAjJDgz,"경기도 성남시 중원구 금상로 60, 우림빌딩 6층 (상대원동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzIxIyQxIyQ5IyQ4MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 황새울로 332, 분당문화센터 6층 일부호 (서현동)"
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjEyMjIjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 판교역로 230, 삼환하이펙스B동 지1층 B-106호 (삼평동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzUxIyQxIyQxIyQwMyQzNjE4MzIjNDEjJDEjJDQjJDgz,"경기도 성남시 수정구 성남대로 1330, 일성오퍼스원 2층 201,202,203호 (태평동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjE0ODEjNTEjJDEjJDYjJDgz,"경기도 성남시 수정구 위례동로 147, 2층 204호 (창곡동, 위례건아타워)"
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjE4MzIjNjEjJDEjJDAjJDgz,"경기도 성남시 분당구 방아로 9, MI-RAE B/D 2층 (이매동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz,"경기도 성남시 분당구 내정로173번길 1, 2층 (수내동, 한국상업은행)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzQxIyQxIyQ3IyQ4MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 운중로 249, 501호 (판교동)"
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,"경기도 성남시 중원구 성남대로 1115, 모란시티 206,207호 (성남동)"
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,"경기도 성남시 수정구 성남대로 1171, 삼성화재빌딩 1층일부, 2~9층 (수진동)"
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz,"경기도 성남시 수정구 성남대로 1270-1, 성남대로 1262, 11-12층  (태평동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNTEjJDEjJDIjJDgz,"경기도 성남시 수정구 수정로 188, 2층 (신흥동)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQxIyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 새마을로177번길 81, (율동)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 돌마로90번길 4, 엘레강스프라자1동 203호 (구미동)"
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ5OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,"경기도 성남시 분당구 서현로321번길 10, 2층 일부호 (서현동)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ1IyQxMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,"경기도 성남시 수정구 위례동로 135, 4층 401호 (창곡동, 신성위캐슬타워)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,"경기도 성남시 분당구 미금로 48, 205호 (구미동, 오성프라자)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzMxIyQxIyQzIyQwMyQyNjEyMjIjODEjJDEjJDIjJDgz,"경기도 성남시 분당구 내정로174번길 6, 301~302호 (수내동, 한올제약상가)"
