암호화요양기호,장비코드명
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQyIyQxIyQwMCQzNjE4MzIjNDEjJDEjJDgjJDgz,초음파영상진단기
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ4OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,콘빔CT
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQyIyQ1IyQwMCQzNjE4MzIjNDEjJDEjJDQjJDgz,초음파영상진단기
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ5MiQzNjE0ODEjNjEjJDEjJDgjJDgz,유방촬영장치
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzIxIyQxIyQxIyQ2MiQyNjEwMDIjNjEjJDEjJDAjJDgz,콘빔CT
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ5MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,초음파영상진단기
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,체외충격파쇄석기
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzMxIyQxIyQzIyQwMyQzNjEyMjIjNjEjJDEjJDgjJDgz,콘빔CT
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,MRI
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNTEjJDEjJDYjJDgz,콘빔CT
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,초음파영상진단기
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ5MiQyNjE0ODEjODEjJDEjJDIjJDgz,콘빔CT
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzUxIyQxIyQxIyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz,골밀도검사기
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEyMjIjNTEjJDEjJDYjJDgz,콘빔CT
