암호화요양기호,일반입원실일반병상수
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,109
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz,17
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNTEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQxIyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ5OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ1IyQxMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzMxIyQxIyQzIyQwMyQyNjEyMjIjODEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzMxIyQxIyQ3IyQ3OSQyNjEyMjIjNjEjJDEjJDgjJDgz,0
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzMxIyQxIyQzIyQ3MiQzNjE4MzIjODEjJDEjJDYjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ3OSQzNjEyMjIjNjEjJDEjJDgjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ4MiQyNjE0ODEjNTEjJDEjJDYjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzIxIyQxIyQxIyQ4MiQzNjEyMjIjNDEjJDEjJDQjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ5OSQyNjE4MzIjODEjJDEjJDYjJDgz,54
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ3MiQzNjE4MzIjNTEjJDEjJDIjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzMxIyQxIyQ3IyQwMyQzNjEwMDIjNTEjJDEjJDIjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ5MiQzNjE0ODEjODEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,148
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,197
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzMxIyQxIyQzIyQwMyQzNjEyMjIjODEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQxMyQyNjE4MzIjNDEjJDEjJDQjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzExIyQyIyQ3IyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjNTEjJDEjJDYjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQ3IyQwMCQ0NjEwMDIjNDEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ3MiQzNjEwMDIjNTEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjNzEjJDEjJDgjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQyIyQ1IyQwMCQ0NjEwMDIjNDEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQwMyQzNjE0ODEjODEjJDEjJDYjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQxMyQzNjE4MzIjNTEjJDEjJDYjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQxMyQzNjE0ODEjODEjJDEjJDYjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQzNjEyMjIjODEjJDEjJDYjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQ0NjEwMDIjNTEjJDEjJDYjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEyMjIjNTEjJDEjJDYjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE4MzIjNTEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEyMjIjODEjJDEjJDIjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDQjJDgz,0
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQwMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQxIyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQwMyQ0NjE0ODEjNjEjJDEjJDAjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,62
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQxIyQ1IyQ3MiQzNjEyMjIjNjEjJDEjJDgjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxOTYxIzIxIyQxIyQ1IyQ2MiQzNjEyMjIjNDEjJDEjJDQjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNDEjJDEjJDQjJDgz,0
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNjEjJDEjJDAjJDgz,0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQxIyQ3MiQzNjE0ODEjNjEjJDEjJDQjJDgz,0
