암호화요양기호,검색코드명
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ4MiQzNjEwMDIjNjEjJDEjJDQjJDgz,일차의료 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ4MiQzNjEwMDIjNjEjJDEjJDQjJDgz,일차의료 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz,비대면진료 시범사업 휴일·야간 진료기관(의료기관)
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ5MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,아동 일차의료 심층상담 시범사업
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQyIyQ5IyQwMCQzNjE4MzIjNTEjJDEjJDYjJDgz,아동 일차의료 심층상담 시범사업
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ4MiQyNjE0ODEjNjEjJDEjJDAjJDgz,장애인 건강주치의 시범기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDAjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQwMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,비대면진료 시범사업 휴일·야간 진료기관(의료기관)
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ4OSQyNjEyMjIjNjEjJDEjJDgjJDgz,일차의료 만성질환관리 실시기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNjEjJDEjJDgjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,장애인 건강주치의 시범기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzQxIyQyIyQ3IyQwMCQzNjEwMDIjNzEjJDEjJDgjJDgz,비대면진료 시범사업 휴일·야간 진료기관(의료기관)
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ5MiQzNjE0ODEjODEjJDEjJDIjJDgz,비대면진료 시범사업 휴일·야간 진료기관(의료기관)
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzMxIyQxIyQ3IyQ4OSQzNjE4MzIjNDEjJDEjJDgjJDgz,측두하악 관절자극요법 실시기관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzMxIyQyIyQ3IyQwMCQzNjE4MzIjNjEjJDEjJDgjJDgz,측두하악 관절자극요법 실시기관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzUxIyQxIyQxIyQ5OSQzNjEyMjIjNTEjJDEjJDYjJDgz,측두하악 관절자극요법 실시기관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzUxIyQxIyQxIyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,측두하악 관절자극요법 실시기관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzExIyQxIyQzIyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,장애인 치과주치의 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzExIyQxIyQzIyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz,장애인 치과주치의 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzExIyQxIyQ3IyQ4MiQyNjEyMjIjNDEjJDEjJDgjJDgz,장애인 치과주치의 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjODEjJDEjJDIjJDgz,측두하악 관절자극요법 실시기관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzIxIyQxIyQxIyQ4MiQzNjEyMjIjNDEjJDEjJDQjJDgz,측두하악 관절자극요법 실시기관
JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNDEjJDEjJDQjJDgz,노숙인 진료기관
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNzEjJDEjJDgjJDgz,일차의료 한의 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNzEjJDEjJDgjJDgz,일차의료 한의 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzQxIyQyIyQ3IyQwMCQzNjEwMDIjODEjJDEjJDIjJDgz,일차의료 한의 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzQxIyQyIyQ3IyQwMCQzNjEwMDIjODEjJDEjJDIjJDgz,일차의료 한의 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDQjJDgz,일차의료 한의 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDQjJDgz,일차의료 한의 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQzIyQ5OSQyNjE4MzIjNzEjJDEjJDgjJDgz,일차의료 한의 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQzIyQ5OSQyNjE4MzIjNzEjJDEjJDgjJDgz,일차의료 한의 방문진료 수가 시범기관
