암호화요양기호,요양기관명
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,바른세상병원
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQxMyQzNjE4MzIjNDEjJDEjJDQjJDgz,분당제일여성병원
